age,income,credit_score,years_employed,num_dependents,education,home_owner,region,loan_status
58,,550,6.7,5,High School,Yes,West,Approved
32,45827.73,503,21.5,5,PhD,Yes,West,Approved
18,50587.22,732,10.2,1,Bachelor,No,North,Approved
40,24037.09,770,16.1,3,High School,No,East,Approved
20,33597.2,381,25.7,0,PhD,No,West,Approved
41,33532.17,373,18.3,1,Bachelor,Yes,West,Approved
58,45197.82,632,25.3,0,Bachelor,Yes,East,Approved
54,61159.42,811,11.9,5,PhD,Yes,East,Approved
52,48091.93,708,10.9,1,PhD,Yes,North,Approved
28,54926.48,365,11.5,4,PhD,No,North,Denied
52,50169.85,648,3.3,3,Bachelor,No,North,Denied
34,80022.89,819,27.4,5,Master,Yes,South,Approved
67,85613.34,631,14.7,0,Master,No,South,Approved
23,67831.15,370,29.3,4,Bachelor,Yes,West,Approved
51,63133.94,516,27.9,5,Bachelor,No,West,Approved
46,,553,6.7,2,High School,Yes,South,Denied
21,55157.29,638,2.1,1,Master,No,South,Approved
54,38079.53,784,24.2,1,High School,Yes,West,Approved
64,74701.89,400,1.8,5,Master,Yes,South,Denied
26,37172.0,555,26.2,0,PhD,Yes,North,Approved
18,90336.99,542,5.0,3,PhD,Yes,West,Approved
18,64070.95,765,8.6,5,PhD,Yes,South,Approved
55,49428.66,621,1.7,4,PhD,Yes,North,Denied
29,56136.98,540,12.1,4,Bachelor,Yes,North,Approved
51,44332.63,621,7.2,3,Bachelor,No,West,Approved
22,75036.41,402,2.2,1,Master,Yes,East,Approved
41,45784.92,609,18.4,5,High School,No,North,Approved
25,72809.39,459,8.2,4,Bachelor,No,South,Denied
50,12000,352,2.8,3,Master,Yes,North,Denied
34,60251.95,737,16.8,0,High School,Yes,North,Approved
27,45241.84,673,27.0,0,Master,Yes,South,Approved
53,,458,27.8,1,Bachelor,Yes,West,Approved
39,53747.05,554,8.0,5,High School,No,North,Denied
70,64553.21,533,6.7,5,Bachelor,No,East,Denied
67,45308.27,709,20.4,4,Master,Yes,North,Approved
55,63749.37,411,17.9,2,Master,No,North,Approved
34,68521.54,832,27.8,4,Bachelor,No,West,Approved
39,31001.18,427,21.6,2,Master,No,East,Denied
26,59512.05,688,20.3,1,Master,No,North,Approved
68,26995.85,776,13.3,5,Bachelor,No,South,Approved
60,,540,20.2,1,Bachelor,Yes,North,Approved
57,54105.13,724,26.6,4,Bachelor,No,West,Approved
62,79995.51,409,23.4,1,Bachelor,No,North,Approved
25,18838.04,843,29.6,4,Master,No,West,Approved
28,49186.03,565,22.6,5,Master,No,South,Approved
36,51584.1,382,4.2,1,PhD,Yes,South,Approved
52,,730,11.7,4,High School,No,West,Approved
66,20762.53,729,16.1,5,Bachelor,No,South,Approved
42,36018.81,714,21.7,3,Bachelor,Yes,West,Approved
23,43933.82,772,5.5,2,PhD,No,South,Approved
42,42187.05,731,7.6,0,PhD,Yes,North,Approved
59,91066.18,341,22.6,1,Bachelor,Yes,South,Approved
25,38383.92,562,23.0,1,,Yes,East,Approved
37,15052.84,684,11.9,5,Bachelor,Yes,South,Denied
61,,342,10.4,3,Master,Yes,East,Denied
49,86103.12,770,21.2,3,Bachelor,No,West,Approved
55,45944.25,388,8.4,3,Bachelor,No,West,Approved
38,55161.81,564,10.2,4,Master,Yes,South,Approved
49,37448.17,787,19.4,3,PhD,Yes,North,Approved
33,41782.36,784,16.6,2,PhD,No,East,Approved
34,53509.64,623,3.6,4,Bachelor,Yes,South,Approved
55,71715.57,589,29.4,1,,Yes,East,Approved
52,53846.17,355,16.6,5,Bachelor,No,North,Approved
48,33716.65,352,7.6,3,High School,Yes,West,Denied
61,59657.34,611,2.6,1,High School,No,South,Approved
46,42967.69,739,9.2,4,High School,Yes,South,Approved
23,,376,4.7,3,PhD,No,East,Denied
36,44235.08,539,27.7,5,Bachelor,No,North,Approved
35,53208.74,469,23.8,4,Master,No,North,Approved
43,69847.02,805,13.1,4,,No,East,Approved
32,83249.54,321,30.0,5,Master,Yes,South,Approved
35,59966.41,803,29.1,3,Master,No,East,Approved
28,36690.92,595,19.9,3,High School,No,North,Approved
67,32163.97,301,19.7,4,PhD,No,North,Approved
66,30556.38,352,6.1,4,Bachelor,No,West,Denied
19,74313.32,545,21.3,2,High School,No,North,Approved
25,41264.21,457,15.0,5,Master,No,West,Approved
33,40306.79,495,27.7,4,Bachelor,Yes,East,Approved
39,69627.52,302,8.5,2,PhD,Yes,West,Denied
53,51415.28,629,26.1,5,Bachelor,No,South,Approved
38,49064.17,690,11.6,5,Bachelor,No,North,Denied
39,75038.97,750,3.0,3,High School,Yes,West,Approved
22,12000,646,18.7,3,High School,No,West,Approved
66,27600.56,370,7.0,5,Master,Yes,North,Denied
58,47633.21,470,20.8,0,High School,No,North,Approved
27,50676.22,484,5.1,0,PhD,Yes,West,Approved
47,37069.62,309,27.0,3,Master,Yes,North,Approved
55,36006.12,556,13.7,2,Bachelor,No,West,Approved
40,12000,602,0.7,5,PhD,No,North,Denied
65,89014.78,808,25.0,2,Bachelor,No,South,Approved
61,,440,18.8,5,High School,No,West,Denied
26,62703.52,725,5.3,1,Master,No,South,Approved
48,64739.65,646,24.1,3,High School,Yes,South,Approved
43,81840.81,674,2.7,3,High School,No,North,Approved
61,48654.11,680,3.3,1,PhD,Yes,East,Approved
22,36739.05,609,19.5,0,Bachelor,Yes,North,Approved
24,52131.75,697,13.6,5,PhD,Yes,West,Approved
57,12891.53,333,20.7,1,PhD,No,South,Approved
61,23936.64,667,1.8,2,Bachelor,Yes,West,Approved
58,46935.13,641,7.3,1,Bachelor,Yes,South,Approved
32,45180.92,302,8.3,1,Bachelor,No,South,Denied
26,81661.68,543,17.7,0,Bachelor,No,North,Approved
25,49442.51,670,15.4,0,PhD,Yes,North,Approved
60,30257.24,331,1.8,3,PhD,No,North,Denied
22,62797.71,451,2.0,2,Master,No,East,Denied
24,52373.47,520,12.9,1,PhD,No,West,Approved
38,26144.66,683,28.6,5,PhD,Yes,North,Approved
24,49409.16,433,16.7,4,Master,Yes,West,Denied
66,14555.55,352,29.1,4,Master,No,North,Approved
60,15323.19,658,25.4,2,High School,No,South,Approved
67,60346.14,326,18.3,5,Master,Yes,South,Denied
39,43246.64,446,17.0,3,High School,Yes,North,Approved
42,35605.57,678,9.3,2,High School,Yes,South,Approved
61,66973.32,734,14.6,3,PhD,No,South,Approved
45,70788.89,798,15.8,2,High School,Yes,West,Approved
31,46063.16,440,22.9,2,Master,Yes,North,Approved
26,29509.85,812,16.8,5,Master,Yes,West,Approved
19,42982.9,620,17.3,4,,No,East,Approved
38,70607.71,771,25.0,2,High School,No,North,Approved
51,82042.12,647,6.6,1,High School,Yes,South,Approved
64,75033.19,451,7.1,1,Master,Yes,South,Approved
59,89383.74,805,13.9,4,PhD,No,East,Approved
46,,357,10.6,0,Master,No,West,Denied
36,81872.18,392,18.5,4,PhD,No,North,Approved
59,59283.34,813,4.5,0,PhD,Yes,East,Approved
59,56350.99,748,29.7,4,Bachelor,No,East,Approved
67,37192.21,642,2.0,0,PhD,No,East,Approved
56,61337.75,444,27.5,2,PhD,Yes,North,Approved
68,45544.52,839,2.8,5,PhD,No,North,Approved
31,33276.77,496,6.8,1,Bachelor,Yes,East,Approved
67,21428.04,839,1.1,2,Bachelor,No,South,Approved
67,22482.36,748,1.3,2,Bachelor,No,East,Denied
32,34862.04,780,27.1,1,Master,No,West,Approved
50,12000,504,24.0,1,Master,Yes,West,Approved
24,44792.95,427,8.6,1,Master,No,South,Denied
32,65223.43,327,12.4,3,Master,Yes,West,Denied
19,46560.52,643,23.7,1,High School,No,West,Approved
63,25585.25,381,0.6,1,Bachelor,No,North,Denied
25,67943.66,768,1.9,3,,Yes,South,Approved
40,51107.17,387,15.7,2,High School,Yes,West,Approved
42,63671.2,316,10.7,0,Master,Yes,North,Approved
39,61219.54,646,24.4,1,PhD,No,South,Approved
67,54634.65,506,1.3,1,High School,No,East,Denied
52,45151.64,495,8.6,0,Master,No,North,Approved
43,48394.76,695,10.2,1,PhD,No,East,Denied
69,66429.4,740,18.1,1,Master,No,North,Approved
37,23010.21,470,20.7,2,PhD,Yes,East,Approved
58,93412.38,376,20.1,3,Master,Yes,North,Approved
68,41345.82,541,23.4,2,Master,No,North,Approved
41,28808.73,440,15.9,3,,No,South,Approved
29,32192.69,420,7.9,2,PhD,Yes,East,Denied
30,75283.57,762,5.2,5,PhD,Yes,East,Approved
53,13399.83,461,21.4,5,Bachelor,No,South,Denied
26,51749.0,669,16.6,2,PhD,Yes,North,Approved
63,45727.12,719,24.7,0,Bachelor,No,North,Approved
40,73416.67,486,23.0,1,PhD,Yes,North,Approved
28,37525.91,654,28.4,4,Master,Yes,East,Approved
35,60799.19,846,2.8,5,Bachelor,Yes,South,Approved
56,28626.0,342,24.8,0,High School,Yes,East,Approved
44,46709.69,596,19.3,2,PhD,Yes,West,Approved
21,60186.57,775,6.1,4,Bachelor,No,East,Approved
43,61794.9,408,9.6,3,High School,No,West,Approved
36,83869.78,728,7.4,1,Master,No,South,Approved
50,13801.93,809,0.7,3,PhD,Yes,South,Approved
36,12780.89,781,8.6,0,High School,No,South,Approved
66,45503.87,352,17.1,1,Master,No,North,Approved
53,39954.33,421,3.9,0,PhD,No,East,Approved
27,56756.31,812,1.2,0,Bachelor,No,West,Approved
